,HW1,HW2,HW3,HW4,HW5,HW6,HW7,HW8,HW9,ATT,QZ1,QZ2,QZ3,QZ4,EX1,EX2,Test1,Test2,Lab,Homework,Quiz,Overall,Grade
1,100,100,100,100,100,100,100,100,100,12,100,100,100,100,80,90,100,100,100,100,100,93.5,A
2,85,95,100,95,95,95,100,100,100,12,91.66666667,88.88888889,90,95,57.6,74.7,72,83,100,97.5,91.2962963,83.13944444,B
3,87.5,100,85,70,100,98,0,80,0,7,83.33333333,55.55555556,50,0,56.8,54.9,71,61,58.33333333,66.625,35.18518519,56.18361111,D
4,92.5,100,100,100,96.25,99,100,92.5,95,12,66.66666667,88.88888889,65,65,69.6,58.05,87,64.5,100,97.84375,72.96296296,78.73006944,C+
5,32.5,0,65,60,0,46,0,0,0,5,41.66666667,50,0,0,40,16.2,50,18,41.66666667,21.375,16.66666667,25.12916667,F
6,75,85,92.5,95,100,91,0,0,90,9,91.66666667,94.44444444,0,75,73.6,71.1,92,79,75,69.1875,56.48148148,69.22347222,C-
7,90,100,97.5,95,80,80,52,90,90,12,91.66666667,50,75,90,78.4,68.85,98,76.5,100,85.5625,71.66666667,79.31125,C+
8,92.5,95,100,90,100,72,95,74.5,100,12,83.33333333,44.44444444,60,65,52,63.9,65,71,100,90.8125,56.48148148,72.09097222,C
9,82.5,85,92.5,70,100,0,84,90,95,12,91.66666667,100,70,95,80,73.8,100,82,100,77.0625,88.33333333,80.81875,B-
10,75,95,95,95,95,96,0,100,98,12,58.33333333,55.55555556,65,80,63.2,70.65,79,78.5,100,84.25,66.85185185,75.60527778,C
11,0,77.5,0,15,0,70,80,80,57.5,11,66.66666667,27.77777778,35,15,21.6,50.4,27,56,91.66666667,47.5,25.92592593,44.22555556,F
12,95,100,100,100,100,90,100,100,70,12,100,100,80,100,77.6,87.3,97,97,100,95,93.33333333,89.845,A-
13,82.5,0,82.5,80,100,0,0,0,70,12,75,38.88888889,45,60,42.4,41.4,53,46,100,41.5625,47.96296296,48.49319444,F
14,80,92.5,87.5,100,100,69,51.5,80,75,12,100,83.33333333,67.5,100,70.4,68.4,88,76,100,81.9375,83.61111111,78.30291667,C+
15,87.5,100,100,100,85,90,100,100,80,12,66.66666667,72.22222222,60,75,68,70.2,85,78,100,94.375,69.07407407,79.82361111,B-
16,50,0,67.5,50,0,78,41.5,82.5,80,11,33.33333333,55.55555556,70,85,40,36.9,50,41,91.66666667,49.9375,70.18518519,51.90069444,D
17,47.5,70,77.5,30,85,55,78,92.5,80,11,66.66666667,16.66666667,0,30,47.2,20.7,59,23,91.66666667,71,15.55555556,47.415,F
18,77.5,85,100,100,95,93,82,90,95,12,75,55.55555556,70,65,59.2,69.3,74,77,100,92.5,63.51851852,76.44277778,C
19,65,92.5,92.5,0,95,80,74,80,80,12,83.33333333,50,65,70,64,67.95,80,75.5,100,74.25,61.66666667,71.3125,C
20,52.5,75,85,90,86.25,99,70,100,0,8,66.66666667,77.77777778,25,50,61.6,62.1,77,69,66.66666667,75.65625,50.92592593,64.84743056,C-
21,77.5,97.5,100,100,100,100,100,100,100,12,91.66666667,100,70,100,69.6,70.2,87,78,100,99.6875,90,84.87625,B
22,95,77.5,95,100,100,87,100,90,100,12,100,94.44444444,70,95,64,77.4,80,86,100,93.6875,86.48148148,83.22847222,B
23,70,67.5,75,70,95,77,79,0,63.5,11,91.66666667,61.11111111,0,80,54.4,45,68,50,91.66666667,65.875,47.03703704,58.11472222,D
24,77.5,70,87.5,90,80,81,87,90,85,11,66.66666667,0,0,70,35.2,31.5,44,35,91.66666667,83.8125,23.33333333,52.72541667,D
25,72.5,72.5,85,80,90,93,100,100,100,12,91.66666667,88.88888889,70,95,64.8,81,81,90,100,90.0625,84.62962963,82.92319444,B
26,80,80,85,60,92.5,71,48,64,95,12,33.33333333,22.22222222,40,25,39.2,42.75,49,47.5,100,74.4375,29.07407407,55.21986111,D
27,97,100,100,100,100,98,100,0,96,12,75,38.88888889,0,100,67.2,77.4,84,86,100,86.75,46.2962963,75.75944444,C
28,92.5,100,100,80,100,0,83,95,90,12,66.66666667,16.66666667,75,70,50.4,61.2,63,68,100,81,53.88888889,67.76333333,C-
29,87.5,55,87.5,52.5,70,98,90,90,80,12,83.33333333,66.66666667,30,80,57.6,62.1,72,69,100,77.875,58.88888889,69.24083333,C-
30,92.5,92.5,85,90,95,87,73,100,80,12,83.33333333,72.22222222,85,90,72,67.5,90,75,100,87.8125,82.40740741,79.97986111,B-
31,52.5,97.5,100,90,95,95,100,85,70,12,91.66666667,55.55555556,65,75,64.8,70.65,81,78.5,100,91.5625,65.18518519,77.86902778,C+
32,86.5,94,95,100,95,90,77,60,98,10,66.66666667,61.11111111,65,85,63.2,64.35,79,71.5,83.33333333,88.625,70.37037037,74.20388889,C
33,88.5,85,100,100,100,99,100,100,94,12,100,88.88888889,90,100,79.2,67.05,99,74.5,100,97.25,92.96296296,85.72194444,B
34,95,98,100,80,100,90,52,70,100,12,83.33333333,44.44444444,75,80,62.4,48.15,78,53.5,100,86.25,66.48148148,70.36472222,C
35,85,77.5,92.5,55,65,64,26,62.5,85,12,33.33333333,50,30,60,29.6,24.75,37,27.5,100,65.9375,46.66666667,48.88875,F
36,87.5,100,100,70,95,100,78,90,80,12,66.66666667,44.44444444,40,90,62.4,35.1,78,39,100,89.125,58.14814815,66.71472222,C-
37,76,72.5,50,0,61.25,71,51,50,80,12,58.33333333,55.55555556,50,20,44.8,63.45,56,70.5,100,54.46875,41.85185185,57.44090278,D
38,81,97.5,100,75,95,87,82,90,95,12,100,100,75,55,67.2,75.6,84,84,100,90.1875,76.66666667,80.89625,B-
39,92.5,100,92.5,90,100,95,85,90,80,12,87.5,66.66666667,65,100,66.4,63,83,70,100,91.5625,77.22222222,78.08208333,C+
40,87.5,100,92.5,90,95,91,90,95,100,11,83.33333333,66.66666667,82.5,85,72,81,90,90,91.66666667,94.1875,78.05555556,83.78125,B
41,93.5,95,97.5,100,100,76,95,90,80,12,100,77.77777778,75,65,76.8,75.15,96,83.5,100,91.6875,72.59259259,82.54263889,B
42,75,82.5,100,100,90,88,84,87.5,100,12,91.66666667,88.88888889,70,90,76.8,76.5,96,85,100,91.5,82.96296296,84.37944444,B
43,87.5,62.5,80,70,100,96,92,100,70,12,58.33333333,66.66666667,60,75,58.4,54.9,73,61,100,83.8125,67.22222222,70.63208333,C
44,90,90,72.5,90,100,97,100,95,100,12,83.33333333,61.11111111,65,65,55.2,41.4,69,46,100,93.0625,63.7037037,68.86430556,C-
45,70,90,90,80,69.5,54,82,0,100,9,50,38.88888889,40,40,37.6,43.2,47,48,75,70.6875,39.62962963,52.97069444,D
46,95,85,90,50,56,86,92,75,55,12,87.5,77.77777778,45,75,42.4,27,53,30,100,73.625,65.92592593,57.20638889,D
47,82.5,100,97.5,90,91.25,99,97,100,100,12,91.66666667,88.88888889,90,100,67.2,73.8,84,82,100,96.84375,92.96296296,84.88756944,B
